文章ID,标题,日期,情绪分数,痛点强度,可信度,更新日期
article_001,【投書】年收300萬還是甲級貧戶，竹科生活到底窮不窮？,2025-10-19,-0.30,高,個人,2025-10-22
article_002,不是工作壓力大！竹科高薪人「做不到一年逃回台北」，原因北漂人都懂,2025-07-29,0.00,低,新聞,2025-10-22
article_003,只剩薪水好！竹科人曝「新竹5缺點」嘆：生活充滿厭惡 (第10頁),2022-03-23,0.00,低,社群,2025-10-22
article_004,只剩薪水好！竹科人曝「新竹5缺點」嘆：生活充滿厭惡,2022-03-23,0.00,中,社群,2025-10-22
article_005,在竹科附近生活！前輩苦曝5缺陷,2025-10-19,0.50,低,其他,2025-10-22
article_006,深度報導／我的孩子捲不動　竹科「複製人家庭」的焦慮與突圍,2025-06-11,0.00,低,新聞,2025-10-22
article_007,竹科「家長社群」超可怕！　她想讓小孩快樂竟被踢出,2025-06-12,0.00,中,新聞,2025-10-22
article_008,竹科媽媽群組門檻太難引熱議！網紅橫綱凱咪看不下去，列5項『高端人口』才有的真正特質,2021-05-04,0.00,低,新聞,2025-10-22
article_009,薪情好帶動生育潮！「竹科效應」吸外媒關注 家庭相關福利措施助攻,2025-09-04,0.00,低,新聞,2025-10-22
article_010,當竹科家庭小孩很幸福？,2025-10-19,-0.10,低,個人,2025-10-22
article_011,前陣子「竹科媽媽」群組又上新聞了，很多人覺得匪夷所思。以我這個土生土長的縣民來說，「高鐵區」和「關埔,2025-10-22,0.00,低,個人,2025-10-22
